

order_id,order_date,demand_level,unit_price,quantity,total_order_value,margin_percent,ai_cancel_flag,cancellation_reason,order_status_before_ai_only,revenue_lost_before_ai_only,recoverable_flag,intervention_attempted_by_navedas,intervention_success,intervention_failure_reason,order_status_after_navedas,revenue_prevented_by_navedas,avoidable_revenue_loss_after_navedas,profit_lost_before_ai_only,profit_lost_after_navedas,margin_saved_after_navedas,intervention_cost,net_profit_impact_due_to_navedas,recovery_rate_flag
ORD-700000,17-01-2025,High,2931,1,2931,0.44,1,Payment Expired,Cancelled,2931,1,1,1,None,Fulfilled,2931,0,1289.64,0.0,1289.64,15,1274.64,1
ORD-700001,22-01-2025,Medium,2695,2,5390,0.27,1,Vendor Split Possible,Cancelled,5390,0,0,0,Not Recoverable,Cancelled,0,0,1455.3000000000002,0.0,0.0,0,0.0,0
ORD-700002,07-03-2025,Medium,2637,2,5274,0.29,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700003,27-06-2025,High,593,1,593,0.41,0,Payment Expired,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700004,05-05-2025,Medium,2232,2,4464,0.29,1,Stock Sync Delay,Cancelled,4464,1,1,1,None,Fulfilled,4464,0,1294.56,0.0,1294.56,15,1279.56,1
ORD-700005,27-04-2025,Medium,2421,1,2421,0.27,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700006,17-01-2025,High,686,1,686,0.29,1,AI Logic Gap - SKU Mapping,Cancelled,686,1,1,1,None,Fulfilled,686,0,198.94,0.0,198.94,15,183.94,1
ORD-700007,12-06-2025,Medium,1472,2,2944,0.41,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700008,08-05-2025,High,2314,1,2314,0.37,0,Vendor Split Possible,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
ORD-700009,16-03-2025,High,1956,1,1956,0.36,0,Stock Sync Delay,Fulfilled,0,0,0,0,Not Recoverable,Fulfilled,0,0,0.0,0.0,0.0,0,0.0,0
